station_id,name,short_name,lat,lon,region_id,rental_methods,capacity,external_id,eightd_has_key_dispenser,has_kiosk,station_geom
251,California St at University Ave,BK-D5,37.87055533,-122.27972031,14,,15,,,true,POINT(-122.279720306 37.870555329)
340,Harmon St at Adeline St,BK-I6,37.849734999999995,-122.27058199999999,14,,15,,,true,POINT(-122.270582 37.849735)
249,Russell St at College Ave,BK-H10,37.8584732,-122.2532529,14,,19,,,true,POINT(-122.2532529 37.8584732)
240,Haste St at Telegraph Ave,BK-E9-2,37.8660431,-122.2588044,14,,19,,,true,POINT(-122.2588044 37.8660431)
267,Derby St at College Ave,BK-F10,37.8618037,-122.2535687,14,,19,,,true,POINT(-122.2535687 37.8618037)
273,Fulton St at Ashby Ave,BK-H8,37.85557366,-122.26356536,14,,19,,,true,POINT(-122.263565361 37.855573662)
269,Telegraph Ave at Carleton St,BK-F9,37.8623199,-122.258801,14,,19,,,true,POINT(-122.258801 37.8623199)
271,San Pablo Park,BK-G4,37.85578332,-122.28312671,14,,19,,,true,POINT(-122.283126712 37.85578332)
248,Telegraph Ave at Ashby Ave,BK-H9,37.8559558,-122.2597949,14,,19,,,true,POINT(-122.2597949 37.8559558)
351,10th St at University Ave,BK-D2,37.86906048,-122.29339957,14,,19,,,true,POINT(-122.293399572 37.869060475)
241,Ashby BART Station,BK-H6,37.8524766,-122.2702132,14,,23,,,true,POINT(-122.2702132 37.8524766)
242,Milvia St at Derby St,BK-F7,37.8601246,-122.26938441,14,,23,,,true,POINT(-122.269384414 37.860124599)
244,Shattuck Ave at Hearst Ave,BK-C7,37.87367621,-122.26848722,14,,23,,,true,POINT(-122.268487215 37.873676215)
252,Channing Way at Shattuck Ave,BK-E7,37.8658466,-122.2674431,14,,23,,,true,POINT(-122.2674431 37.8658466)
253,Haste St at College Ave,BK-E10,37.86641794,-122.25379944,14,,23,,,true,POINT(-122.253799438 37.866417941)
263,Channing Way at San Pablo Ave,BK-E3,37.8628271,-122.2902305,14,,23,,,true,POINT(-122.2902305 37.8628271)
258,University Ave at Oxford St,BK-C8,37.8723555,-122.2664467,14,,23,,,true,POINT(-122.2664467 37.8723555)
247,Fulton St at Bancroft Way,BK-E8,37.8677892,-122.2658964,14,,23,,,true,POINT(-122.2658964 37.8677892)
238,MLK Jr Way at University Ave,BK-C6,37.8717192,-122.2730677,14,,23,,,true,POINT(-122.2730677 37.8717192)
239,Bancroft Way at Telegraph Ave,BK-E9-1,37.8688126,-122.258764,14,,23,,,true,POINT(-122.258764 37.8688126)
259,Addison St at Fourth St,BK-D1,37.866248999999996,-122.2993708,14,,23,,,true,POINT(-122.2993708 37.866249)
255,Virginia St at Shattuck Ave,BK-B7,37.87657255,-122.26952791,14,,23,,,true,POINT(-122.269527912 37.876572549)
266,Parker St at Fulton St,BK-F8,37.8624644,-122.2647911,14,,23,,,true,POINT(-122.2647911 37.8624644)
250,North Berkeley BART Station,BK-C5,37.873557999999996,-122.283093,14,,27,,,true,POINT(-122.283093 37.873558)
246,Berkeley Civic Center,BK-D7-2,37.8690599,-122.270556,14,,27,,,true,POINT(-122.270556 37.8690599)
245,Downtown Berkeley BART,BK-D7-1,37.870139,-122.268422,14,,29,,,true,POINT(-122.268422 37.870139)
243,Bancroft Way at College Ave,BK-D10,37.8693603,-122.2543374,14,,30,,,true,POINT(-122.2543374 37.8693603)
